Rank,Player,POS,Team,AVG,Expert,Sleeper,ESPN,Yahoo,Underdog,CBS,FFPC
70,Joe Burrow,QB4,CIN,63.5,70,52,64,64,68,50,83
72,Jayden Daniels,QB5,WAS,70.2,72,66,55,67,71,63,99
76,Caleb Williams,QB7,CHI,81.0,76,71,87,72,74,75,107
76,Jonathon Brooks,RB30,CAR,81.0,76,99,83,77,75,85,67
76,Chris Godwin,WR36,TB,86.7,76,93,105,82,80,87,73
78,Tucker Kraft,TE6,GB,71.2,78,63,92,66,76,71,59
78,Tony Pollard,RB29,TEN,76.5,78,84,68,81,78,72,76
81,Jalen Hurts,QB6,PHI,71.3,81,59,66,63,72,62,106
82,Michael Pittman,WR40,PIT,97.3,82,104,67,104,103,113,93
83,MarShawn Lloyd,RB37,GB,99.7,83,160,86,71,97,88,96
83,Jordan Addison,WR43,MIN,102.0,83,102,106,95,87,109,113
83,Makai Lemon,WR45,PHI,105.5,83,91,116,102,83,129,112
84,DK Metcalf,WR33,PIT,77.5,84,75,71,76,73,90,80
84,Quentin Johnston,WR39,LAC,95.3,84,114,118,89,70,92,89
85,Rico Dowdle,RB31,PIT,82.3,85,87,88,86,79,77,77
86,Sam LaPorta,TE5,DET,71.0,86,58,78,70,91,65,64
87,J.K. Dobbins,RB32,DEN,91.8,87,92,101,85,96,86,91
87,RJ Harvey,RB34,DEN,94.7,87,80,109,108,89,95,87
88,Trevor Lawrence,QB10,JAX,93.2,88,100,95,80,88,80,116
89,Courtland Sutton,WR35,DEN,83.5,89,79,73,100,82,79,88
89,Stefon Diggs,WR41,WAS,100.3,89,107,89,97,94,111,104
92,Michael Wilson,WR37,ARI,89.8,92,85,85,90,90,99,90
92,Chuba Hubbard,RB33,CAR,94.2,92,78,93,84,102,107,101
92,Jordan Mason,RB38,MIN,102.7,92,110,131,103,92,94,86
93,Justin Herbert,QB9,LAC,86.7,93,82,84,75,84,81,114
93,Alec Pierce,WR38,IND,93.3,93,97,90,96,93,82,102
93,Jacory Croskey-Merritt,RB39,WAS,103.3,93,115,119,91,98,102,95
94,Harold Fannin,TE7,CLE,74.8,94,70,69,78,107,64,61
94,Kyle Pitts,TE8,ATL,75.3,94,68,70,79,101,74,60
96,Dak Prescott,QB8,DAL,81.7,96,77,75,83,81,59,115
96,George Kittle,TE9,SF,83.8,96,83,72,87,112,78,71
97,Josh Downs,WR42,IND,101.3,97,113,107,88,86,122,92
98,Blake Corum,RB35,LAR,95.0,98,101,112,92,85,101,79
98,KC Concepcion,WR49,CLE,112.7,98,120,136,98,106,116,100
99,Wan'Dale Robinson,WR46,TEN,107.7,99,119,82,109,119,114,103
100,Matthew Golden,WR48,GB,110.7,100,125,104,99,95,131,110
100,Rachaad White,RB41,WAS,117.5,100,134,100,114,121,127,109
104,De'Zhaun Stribling,WR47,SF,110.2,104,137,122,93,100,115,94
107,Jayden Reed,WR44,GB,103.3,107,109,120,94,77,123,97
108,Brock Purdy,QB12,SF,109.5,108,122,99,101,104,97,134
109,Kenneth Gainwell,RB36,TB,98.8,109,111,79,111,110,98,84
109,Kyle Monangai,RB40,CHI,108.7,109,103,102,110,114,112,111
109,Jordyn Tyson,WR54,NO,132.2,109,108,170,129,111,157,118
110,Bo Nix,QB15,DEN,117.0,110,117,113,105,105,120,142
111,Xavier Worthy,WR52,KC,127.8,111,138,124,131,108,140,126
112,Jaxson Dart,QB11,NYG,107.0,112,96,80,107,109,110,140
113,Patrick Mahomes,QB14,KC,114.8,113,112,110,122,99,103,143
114,Josh Jacobs,RB28,GB,73.3,114,39,81,126,56,73,65
116,Deebo Samuel,WR55,SF,134.0,116,130,132,154,130,128,130
117,Matthew Stafford,QB13,LAR,113.0,117,94,114,115,115,93,147
119,Jared Goff,QB16,DET,125.3,119,131,133,117,113,108,150
121,Aaron Jones,RB42,MIN,118.7,121,128,96,123,127,121,117
121,Kyler Murray,QB17,MIN,133.7,121,150,123,119,116,138,156
123,Jakobi Meyers,WR50,JAX,121.5,123,127,94,127,123,130,128
123,Romeo Doubs,WR51,NE,125.8,123,132,125,121,118,132,127
126,Jalen Coker,WR53,CAR,131.5,126,147,126,113,129,142,132
127,Travis Kelce,TE10,KC,102.7,127,89,103,118,125,100,81
127,Denzel Boston,WR58,CLE,157.2,127,171,164,144,147,171,146
128,Chris Rodriguez,RB43,JAX,129.5,128,139,146,112,122,139,119
128,Mike Washington Jr.,RB45,LV,136.7,128,159,152,128,133,124,124
131,Jake Ferguson,TE14,DAL,120.2,131,98,115,146,139,125,98
132,Dalton Kincaid,TE12,BUF,106.8,132,88,127,106,120,118,82
132,Dallas Goedert,TE13,PHI,107.3,132,121,108,116,131,83,85
133,Baker Mayfield,QB18,TB,142.5,133,144,143,137,124,137,170
134,Woody Marks,RB44,HOU,134.7,134,146,134,130,137,136,125
134,Jonah Coleman,RB47,DEN,143.8,134,166,142,141,142,151,121
135,Keenan Allen,WR64,IND,170.8,135,200,157,147,154,184,183
136,Isaiah Likely,TE11,NYG,105.7,136,106,117,120,126,91,74
136,Travis Hunter,WR63,JAX,169.0,136,169,91,187,174,,224
138,Jordan Love,QB19,GB,144.8,138,153,160,125,117,145,169
139,Mark Andrews,TE15,BAL,124.0,139,126,121,135,138,119,105
139,Khalil Shakir,WR56,BUF,138.2,139,145,111,139,132,161,141
139,Rashid Shaheed,WR57,SEA,145.2,139,148,163,132,136,148,144
142,Tyler Allgeier,RB46,ARI,141.7,142,142,151,136,141,149,131
145,Keaton Mitchell,RB50,LAC,149.2,145,183,156,124,135,174,123
145,Malik Willis,QB21,MIA,163.3,145,209,169,133,134,164,171
146,Juwan Johnson,TE16,NO,141.7,146,178,149,134,140,141,108
146,Tyler Shough,QB20,NO,151.0,146,186,130,143,128,154,165
146,Tank Bigsby,RB51,PHI,157.0,146,179,174,138,150,163,138
155,Brenton Strange,TE18,JAX,157.2,155,154,198,174,152,143,122
155,Jalen McMillan,WR62,TB,168.0,155,210,137,160,161,,172
158,Chig Okonkwo,TE21,WAS,169.4,158,192,219,158,149,,129
160,Ja'Kobi Lane,WR61,BAL,165.2,160,162,201,161,145,167,155
160,C.J. Stroud,QB24,HOU,189.2,160,206,202,175,148,170,234
161,Tre Tucker,WR59,LV,163.7,161,202,171,142,146,162,159
161,Sam Darnold,QB22,SEA,171.3,161,163,203,156,144,152,210
161,Omar Cooper Jr.,WR72,NYJ,198.8,161,194,212,192,177,,219
162,Hunter Henry,TE17,NE,151.8,162,141,154,166,155,160,135
163,Kayshon Boutte,WR69,HOU,189.8,163,197,213,177,164,192,196
164,Dylan Sampson,RB52,CLE,167.5,164,188,153,173,165,177,149
164,Daniel Jones,QB23,IND,172.2,164,203,148,167,143,168,204
165,Emmett Johnson,RB58,KC,182.8,165,207,241,157,162,179,151
166,Tyjae Spears,RB48,TEN,145.2,166,164,128,140,153,150,136
166,Brian Robinson,RB53,ATL,169.5,166,172,161,162,176,185,161
167,Dalton Schultz,TE20,HOU,165.8,167,181,210,149,157,159,139
167,Cam Ward,QB25,TEN,214.2,167,249,222,185,160,,255
168,Chris Brooks,RB71,GB,234.3,168,,225,244,228,,240
171,T.J. Hockenson,TE22,MIN,174.5,171,165,155,215,169,198,145
171,Kaleb Johnson,RB69,GB,225.0,171,218,266,210,196,,235
172,Kenyon Sadiq,TE23,NYJ,177.2,172,173,175,195,178,189,153
173,Terrance Ferguson,TE19,LAR,158.4,173,208,162,151,151,,120
173,Isiah Pacheco,RB59,DET,186.8,173,191,145,197,230,165,193
173,Bryce Young,QB26,CAR,217.2,173,235,221,182,168,,280
176,Caleb Douglas,WR67,MIA,185.8,176,198,168,179,180,203,187
177,Zach Charbonnet,RB49,SEA,147.8,177,152,140,148,166,144,137
177,Tre Harris,WR71,LAC,195.4,177,251,207,184,158,,177
177,Roschon Johnson,RB97,CHI,338.3,177,,543,280,238,,292
179,Jalen Nailor,WR66,LV,181.2,179,182,172,186,159,214,174
180,AJ Barner,TE24,SEA,188.2,180,185,220,183,173,200,168
181,Kaelon Black,RB56,SF,176.5,181,195,200,169,172,169,154
181,Oronde Gadsden,TE25,LAC,208.0,181,151,291,217,206,,175
182,Darnell Mooney,WR110,NYG,289.0,182,340,294,261,251,,299
184,Tyrone Tracy,RB60,NYG,193.3,184,174,246,232,188,156,164
184,Najee Harris,RB61,NYG,201.8,184,224,181,201,194,,209
185,Malik Washington,WR70,MIA,190.0,185,175,214,208,175,,178
187,Nicholas Singleton,RB67,TEN,220.0,187,213,267,204,215,,201
189,Kaytron Allen,RB72,WAS,246.4,189,290,280,227,237,,198
191,Alvin Kamara,RB54,NO,176.2,191,167,150,191,201,181,167
191,Braelon Allen,RB55,NYJ,176.3,191,205,173,164,181,178,157
191,Cyrus Allen,WR79,KC,210.8,191,176,369,180,167,,162
191,Antonio Williams,WR90,WAS,246.0,191,271,236,238,225,,260
192,Ryan Flournoy,WR73,DAL,199.2,192,252,208,172,170,,194
192,Tank Dell,WR75,HOU,206.2,192,189,138,262,219,206,223
195,Ray Davis,RB57,BUF,182.8,195,228,180,159,187,,160
195,Chris Bell,WR83,MIA,226.0,195,298,233,206,179,,214
195,Calvin Ridley,WR86,TEN,233.0,195,354,166,251,195,196,236
197,Sean Tucker,RB76,TB,257.2,197,318,247,253,235,,233
198,Malik Davis,RB62,DAL,202.0,198,,228,176,186,,218
198,Germie Bernard,WR87,PIT,237.0,198,250,206,266,205,,258
198,Aaron Rodgers,QB29,PIT,250.0,198,245,270,249,183,,303
198,David Njoku,TE31,LAC,254.8,198,229,290,315,223,,217
198,Devin Singletary,RB102,NYG,356.0,198,,508,276,303,,337
199,Gunnar Helm,TE29,TEN,226.2,199,266,218,264,199,,184
200,Jerry Jeudy,WR68,CLE,188.3,200,184,165,196,202,176,207
200,Zachariah Branch,WR80,ATL,215.6,200,212,211,212,204,,239
200,Jacoby Brissett,QB28,ARI,243.0,200,315,223,209,198,,270
202,Jauan Jennings,WR76,MIN,207.2,202,214,204,207,184,212,222
203,Kimani Vidal,RB65,LAC,218.2,203,281,215,213,203,,179
205,Adonai Mitchell,WR65,NYJ,181.0,205,254,167,145,163,,176
205,Malachi Fields,WR77,NYG,207.6,205,223,205,225,182,,203
205,Isaac TeSlaa,WR88,DET,243.0,205,239,262,254,207,,253
207,Pat Freiermuth,TE27,PIT,220.0,207,294,209,216,193,,188
208,Greg Dulcich,TE26,MIA,208.0,208,248,259,193,191,199,158
209,Troy Franklin,WR121,DEN,302.6,209,307,371,299,241,,295
210,Demond Claiborne,RB73,MIN,247.6,210,312,278,203,239,,206
210,Geno Smith,QB30,NYJ,251.8,210,,268,245,189,,305
211,Cade Otton,TE28,TB,222.2,211,265,261,223,190,197,197
212,Dontayvion Wicks,WR60,PHI,164.5,212,,177,152,156,,173
212,Pat Bryant,WR74,DEN,205.6,212,237,263,171,171,,186
213,Elijah Sarratt,WR132,BAL,317.4,213,246,411,301,259,,370
214,Brashard Smith,RB82,KC,282.2,214,234,227,335,304,,311
214,Elic Ayomanor,WR137,TEN,328.8,214,304,414,323,274,,329
215,Darius Slayton,WR112,NYG,292.3,215,,235,298,278,,358
216,Ted Hurst,WR89,TB,245.8,216,292,284,241,192,,220
216,Ollie Gordon II,RB78,MIA,270.8,216,,217,285,307,,274
216,Eli Stowers,TE47,PHI,299.3,216,287,329,304,,,277
217,Keon Coleman,WR98,BUF,262.2,217,268,254,275,221,,293
217,Calvin Austin,WR339,NYG,688.7,217,,532,376,1158,,
218,Fernando Mendoza,QB27,LV,230.6,218,187,269,214,197,,286
218,Luke McCaffrey,WR169,WAS,372.0,218,,427,325,364,,
220,Jordan James,RB70,SF,230.2,220,,249,242,244,208,208
220,Jack Bech,WR101,LV,269.2,220,284,274,236,262,,290
220,Chimere Dike,WR134,TEN,326.8,220,247,387,322,293,,385
221,Samaje Perine,RB63,CIN,207.0,221,,158,230,214,,226
221,Jaylin Noel,WR78,HOU,208.6,221,215,179,190,200,,259
221,Christian Kirk,WR153,SF,352.4,221,305,509,331,315,,302
222,James Conner,RB77,ARI,269.4,222,253,308,271,268,,247
222,Charlie Kolar,TE41,LAC,277.8,222,,391,259,209,,252
223,Seth McGowan,RB68,IND,224.0,223,,248,224,213,,211
223,Tez Johnson,WR161,TB,363.7,223,,417,401,273,,
224,Devaughn Vele,WR81,NO,218.0,224,293,178,205,185,,229
224,Ty Johnson,RB86,BUF,287.8,224,,224,333,284,,310
224,Bryce Lance,WR119,NO,300.8,224,,381,287,256,,279
225,Jaydon Blue,RB111,PHI,401.2,225,243,975,332,240,,216
227,Kyle Williams,WR85,,232.0,227,,,,232,,
227,Tyquan Thornton,WR91,KC,254.3,227,,253,231,226,,307
227,Kendre Miller,RB74,NO,255.0,227,232,276,228,267,,272
227,Tory Horton,WR106,SEA,278.2,227,244,275,297,252,,323
228,Isaiah Davis,RB84,NYJ,284.8,228,,242,279,296,,322
228,Skyler Bell,WR126,BUF,312.0,228,,396,309,234,,309
228,Max Klare,TE61,LAR,368.4,228,337,331,494,353,,327
228,Cedric Tillman,WR376,NO,731.0,228,1631,858,395,370,,401
229,Justice Hill,RB64,BAL,213.8,229,,199,246,220,,190
229,Adam Randall,RB80,BAL,279.8,229,,307,256,294,,262
230,Mike Gesicki,TE43,CIN,280.0,230,,292,313,231,,284
231,Rashod Bateman,WR82,BAL,225.6,231,262,176,222,212,,256
231,Tua Tagovailoa,QB36,ATL,301.4,231,276,296,294,257,,384
232,Eli Raridon,TE38,NE,274.0,232,,333,274,243,,246
232,Andrei Iosivas,WR113,CIN,294.0,232,,265,321,242,,348
233,Cooper Kupp,WR84,SEA,227.2,233,199,226,263,216,210,249
233,Emanuel Wilson,RB87,SEA,289.4,233,345,251,258,311,,282
233,Isaac Guerendo,RB176,SF,642.3,233,,561,940,426,,
234,George Holani,RB66,SEA,218.5,234,,245,219,210,,200
234,Evan Engram,TE32,DEN,255.8,234,,289,286,218,,230
235,Michael Penix,QB31,ATL,268.2,235,240,310,250,208,,333
235,DJ Giddens,RB88,IND,295.8,235,,281,282,324,,296
237,Xavier Legette,WR108,CAR,286.3,237,,229,268,261,,387
238,Colby Parkinson,TE39,LAR,274.6,238,349,312,247,222,,243
238,Brandon Aiyuk,WR167,SF,369.0,238,348,516,340,310,,331
239,Kirk Cousins,QB35,LV,296.5,239,,302,308,229,,347
239,Hollywood Brown,WR152,PHI,351.0,239,,395,349,285,,375
241,Deshaun Watson,QB32,CLE,288.0,241,,271,306,247,,328
241,Shedeur Sanders,QB34,CLE,295.8,241,275,301,305,236,,362
242,Jaylen Wright,RB75,MIA,256.6,242,334,216,255,246,,232
243,Mack Hollins,WR142,NE,332.5,243,,295,361,308,,366
243,Devin Neal,RB134,,509.6,243,211,586,319,1082,,350
245,Jake Tonges,TE40,SF,276.8,245,303,311,300,249,,221
245,Konata Mumpfield,WR256,LAR,532.0,245,,421,828,347,,
246,Darnell Washington,TE46,PIT,299.0,246,,314,311,245,,326
246,Trey Benson,RB104,ARI,362.4,246,359,321,405,375,,352
246,Olamide Zaccheaus,WR164,ATL,365.3,246,,397,393,306,,
247,Darren Waller,TE30,CAR,239.0,247,,260,248,211,,237
247,Tyreek Hill,WR160,,361.8,247,236,684,352,254,,283
248,Carson Beck,QB33,ARI,295.7,248,,316,318,253,,
249,Theo Johnson,TE48,NYG,313.0,249,260,325,334,286,,360
251,Mason Taylor,TE42,NYJ,278.4,251,231,324,314,250,,273
251,LeQuint Allen,RB83,JAX,283.3,251,,244,320,298,,271
253,Joshua Palmer,WR130,BUF,315.3,253,,372,292,282,,
253,Anthony Richardson,QB50,IND,509.0,253,,336,891,300,,
255,Michael Mayer,TE34,LV,261.5,255,,293,288,227,,238
259,J.J. McCarthy,QB39,MIN,345.8,259,230,315,398,410,,376
259,Mac Jones,QB40,SF,348.7,259,,319,413,314,,
259,Jaylin Lane,WR236,WAS,498.3,259,,403,701,391,,
262,Justin Fields,QB38,KC,329.7,262,,317,355,317,,
264,Trevor Etienne,RB116,CAR,431.3,264,,574,324,396,,
266,Ty Simpson,QB49,LAR,494.3,266,308,334,975,360,,
268,Elijah Arroyo,TE44,SEA,291.0,268,,323,312,260,,269
270,Cole Kmet,TE49,CHI,320.8,270,,326,372,265,,320
270,Dawson Knox,TE50,BUF,322.0,270,,322,362,264,,340
272,Oscar Delp,TE57,NO,355.5,272,,431,327,322,,342
272,Dont'e Thornton Jr.,WR351,LV,703.0,272,,577,829,,,
273,Isaiah Bond,WR150,CLE,350.3,273,,392,336,323,,
275,Jarquez Hunter,RB123,,471.8,275,297,976,342,429,,315
276,Ja'Tavion Sanders,TE67,CAR,395.3,276,,327,399,460,,
277,Zavion Thomas,WR128,CHI,313.0,277,,390,345,217,,300
279,DeMario Douglas,WR97,NE,261.3,279,,234,293,224,,294
281,Jalen Tolbert,WR133,MIA,319.3,281,,232,410,280,,355
282,Treylon Burks,WR136,WAS,327.0,282,,376,278,327,,
283,Noah Gray,TE55,KC,347.5,283,,328,421,305,,336
284,Marvin Mims,WR116,DEN,298.8,284,222,264,337,297,,374
287,Emari Demercado,RB85,DAL,285.3,287,,252,343,279,,267
289,Kyle Williams,WR122,NE,305.8,289,226,370,329,,,298
290,Justin Joly,TE80,MIA,452.0,290,,606,464,346,,392
291,Jerome Ford,RB304,WAS,894.3,291,,824,726,1133,,
292,Tahj Brooks,RB89,CIN,301.5,292,,277,281,316,,332
292,Drew Allar,QB122,PIT,867.0,292,2208,448,969,331,,379
293,Noah Fant,TE58,NO,365.7,293,,386,366,345,,
294,Cade Klubnik,QB94,NYJ,728.0,294,,478,978,,,
295,Jaleel McLaughlin,RB145,CLE,550.3,295,,886,558,376,,381
296,Audric Estime,RB108,NO,391.4,296,279,562,373,355,,388
297,Kendrick Bourne,WR143,ARI,334.7,297,,373,348,283,,
297,Luke Musgrave,TE84,GB,463.7,297,,544,440,407,,
298,Will Shipley,RB128,PHI,497.3,298,,250,945,401,,393
299,Tutu Atwell,WR175,LAR,380.5,299,,400,437,287,,398
300,Kareem Hunt,RB112,,401.5,300,,695,330,292,,289
303,Jameis Winston,QB51,NYG,515.3,303,,335,921,290,,
304,Tyler Higbee,TE52,LAR,340.8,304,,330,358,326,,349
305,Marcus Mariota,QB44,WAS,427.0,305,,340,535,406,,
305,Jordan Whittington,WR229,LAR,485.8,305,,416,825,363,,339
310,Luke Schoonmaker,TE99,DAL,499.0,310,,404,699,394,,
311,Eli Heidenreich,RB120,PIT,448.5,311,,309,747,335,,403
312,Brenen Thompson,WR140,LAC,331.8,312,,406,310,281,,330
314,Jahan Dotson,WR95,ATL,257.3,314,,230,234,248,,317
316,Jawhar Jordan,RB179,HOU,646.8,316,,921,381,931,,354
317,Savion Williams,WR146,GB,345.3,317,,383,344,309,,
320,Xavier Hutchinson,WR105,HOU,274.5,320,,231,295,266,,306
321,Kevin Coleman Jr.,WR177,MIA,383.3,321,,272,575,321,,365
323,KaVontae Turpin,WR124,DAL,309.7,323,,273,387,269,,
324,Kalif Raymond,WR148,CHI,347.8,324,,374,350,272,,395
325,Joe Flacco,QB41,CIN,355.7,325,,318,390,359,,
326,Nick Westbrook-Ikhine,WR312,IND,639.7,326,,774,714,431,,
327,Ashton Dulin,WR155,IND,354.7,327,,398,316,350,,
331,Devontez Walker,WR165,BAL,367.0,331,,378,400,299,,391
332,Dameon Pierce,RB283,PHI,851.3,332,,810,929,815,,
337,Roman Wilson,WR147,PIT,347.7,337,,402,346,295,,
338,Dyami Brown,WR193,WAS,416.0,338,,375,450,423,,
339,Greg Dortch,WR217,BUF,455.7,339,,663,385,319,,
340,Demarcus Robinson,WR158,SF,358.8,340,,423,418,270,,324
341,Theo Wease Jr.,WR371,LAC,722.3,341,,992,693,807,,397
342,Riley Leonard,QB80,IND,649.7,342,,451,1010,488,,
343,Mo Alie-Cox,TE111,IND,539.5,343,794,405,544,415,,
344,Gardner Minshew,QB137,ARI,929.8,344,1809,488,1024,398,,
345,DeAndre Hopkins,WR269,,557.3,345,,714,415,543,,
346,Taysom Hill,TE86,,466.0,346,,652,369,377,,
347,Tyrod Taylor,QB104,GB,789.3,347,1490,449,804,414,,
348,JuJu Smith-Schuster,WR308,,635.0,348,,689,430,786,,
349,Zonovan Knight,RB98,ARI,340.0,349,,303,377,,,
350,Raheim Sanders,RB114,CLE,416.0,350,,590,326,332,,
,Brandon Aubrey,K1,DAL,116.0,,90,98,153,,106,133
,Houston Texans,DEF1,HOU,128.0,,95,139,150,,,
,Denver Broncos,DEF2,DEN,140.0,,116,141,163,,,
,Los Angeles Rams,DEF3,LAR,141.7,,86,184,155,,,
,Cameron Dicker,K2,LAC,150.6,,118,129,178,,146,182
,Seattle Seahawks,DEF4,SEA,151.0,,105,183,165,,,
,Ka'imi Fairbairn,K3,HOU,151.0,,129,144,168,,133,181
,Jason Myers,K4,SEA,151.6,,124,135,188,,126,185
,Philadelphia Eagles,DEF5,PHI,159.7,,123,186,170,,,
,Baltimore Ravens,DEF6,BAL,167.0,,135,185,181,,,
,Cam Little,K5,JAX,173.4,,133,193,194,,155,192
,New England Patriots,DEF7,NE,174.7,,136,188,200,,,
,Pittsburgh Steelers,DEF8,PIT,176.7,,149,182,199,,,
,Harrison Mevis,K6,LAR,188.8,,156,147,252,,187,202
,Jake Bates,K7,DET,191.0,,140,194,235,,173,213
,Eddy Pineiro,K8,SF,194.4,,190,159,220,,188,215
,Detroit Lions,DEF9,DET,194.7,,158,189,237,,,
,Los Angeles Chargers,DEF10,LAC,197.3,,168,191,233,,,
,Will Reichard,K9,MIN,201.0,,170,197,211,,202,225
,Tyler Loop,K10,BAL,202.4,,177,195,202,,211,227
,Jacksonville Jaguars,DEF11,JAX,203.3,,157,255,198,,,
,Harrison Butker,K11,KC,212.0,,161,192,277,,186,244
,Minnesota Vikings,DEF12,MIN,214.3,,155,299,189,,,
,Evan McPherson,K12,CIN,219.6,,180,257,221,,190,250
,Kansas City Chiefs,DEF13,KC,220.7,,233,190,239,,,
,Cairo Santos,K13,CHI,224.2,,241,196,218,,201,265
,Green Bay Packers,DEF14,GB,227.3,,204,238,240,,,
,Chris Boswell,K14,PIT,229.0,,143,239,270,,,264
,Chase McLaughlin,K15,TB,234.6,,227,240,269,,209,228
,Dallas Cowboys,DEF15,DAL,241.3,,201,297,226,,,
,Trey Smack,K16,GB,250.5,,196,287,265,,,254
,San Francisco 49ers,DEF16,SF,254.3,,217,286,260,,,
,Braylon Bell,WR92,,255.0,,255,,,,,
,Devin Gardner,WR93,,256.0,,256,,,,,
,Chris Tyree,WR94,,257.0,,257,,,,,
,Tampa Bay Buccaneers,DEF17,TB,257.0,,261,237,273,,,
,Josh Reese,WR96,,258.0,,258,,,,,
,Matt Lengel,TE33,,259.0,,259,,,,,
,Dennis Parks,WR99,,263.0,,263,,,,,
,Eli Stowers,TE35,,263.0,,,,,263,,
