Rank,Player,POS,Team,AVG,Expert,Sleeper,ESPN,Yahoo,Underdog,CBS,FFPC
1,Jahmyr Gibbs,RB1,DET,1.0,1,1,1,1,1,1,1
2,Bijan Robinson,RB2,ATL,2.0,2,2,2,2,2,2,2
3,Ja'Marr Chase,WR1,CIN,3.0,3,3,3,3,3,3,3
4,Puka Nacua,WR2,LAR,4.0,4,4,4,4,4,4,4
6,Christian McCaffrey,RB3,SF,6.0,6,5,7,6,6,7,5
6,Jaxon Smith-Njigba,WR3,SEA,6.2,6,6,6,8,5,6,6
7,Amon-Ra St. Brown,WR4,DET,7.7,7,8,8,7,7,8,8
9,Jonathan Taylor,RB4,IND,6.5,9,7,5,5,8,5,9
10,James Cook,RB5,BUF,9.2,10,9,9,9,9,9,10
10,CeeDee Lamb,WR5,DAL,11.2,10,10,10,12,10,12,13
11,Justin Jefferson,WR6,MIN,12.2,11,11,11,13,11,15,12
12,Chase Brown,RB7,CIN,13.2,12,16,14,14,14,10,11
14,Saquon Barkley,RB6,PHI,13.2,14,12,15,10,12,13,17
14,Devon Achane,RB8,MIA,14.2,14,13,12,17,16,11,16
14,Omarion Hampton,RB9,LAC,16.2,14,15,13,16,18,17,18
15,Kenneth Walker,RB11,KC,17.0,15,20,28,11,13,16,14
17,Ashton Jeanty,RB12,LV,18.0,17,14,17,21,15,22,19
19,Derrick Henry,RB10,BAL,17.0,19,19,16,15,17,14,21
20,Drake London,WR8,ATL,20.3,20,18,18,20,23,20,23
21,Brock Bowers,TE1,LV,19.3,21,23,22,19,20,25,7
21,A.J. Brown,WR7,NE,19.5,21,17,20,23,19,18,20
22,Nico Collins,WR9,HOU,22.5,22,25,23,18,21,24,24
22,Malik Nabers,WR12,NYG,26.8,22,26,33,25,22,30,25
24,George Pickens,WR10,DAL,23.8,24,22,27,22,24,21,27
25,Rashee Rice,WR13,KC,28.5,25,29,25,39,27,23,28
26,Chris Olave,WR11,NO,26.0,26,30,24,24,25,27,26
28,Trey McBride,TE2,ARI,25.0,28,24,21,34,28,28,15
28,Jeremiyah Love,RB13,ARI,27.5,28,27,19,28,30,32,29
30,Breece Hall,RB16,NYJ,32.5,30,34,30,30,33,38,30
31,Kyren Williams,RB14,LAR,29.3,31,28,32,27,29,26,34
31,DeVonta Smith,WR14,PHI,29.8,31,31,34,26,26,31,31
31,Javonte Williams,RB15,DAL,31.0,31,33,31,29,32,29,32
34,Zay Flowers,WR15,BAL,35.0,34,41,37,32,31,34,35
34,Jaylen Waddle,WR21,DEN,41.2,34,45,48,33,36,46,39
35,Tee Higgins,WR16,CIN,36.8,35,35,41,31,35,37,42
38,Ladd McConkey,WR17,LAC,37.7,38,36,40,41,34,39,36
39,Josh Allen,QB1,BUF,29.2,39,21,26,35,37,19,37
40,Colston Loveland,TE3,CHI,37.5,40,40,42,38,43,40,22
40,Travis Etienne,RB17,NO,38.7,40,44,35,40,40,33,40
40,Emeka Egbuka,WR20,TB,40.3,40,38,38,43,38,44,41
41,Garrett Wilson,WR18,NYJ,38.8,41,46,29,36,39,45,38
43,Tetairoa McMillan,WR19,CAR,39.5,43,37,36,37,41,42,44
43,Bucky Irving,RB20,TB,47.7,43,43,49,50,51,43,50
44,D'Andre Swift,RB18,CHI,43.2,44,51,46,42,42,35,43
46,Cam Skattebo,RB19,NYG,43.7,46,42,45,48,46,36,45
47,Quinshon Judkins,RB21,CLE,49.8,47,53,39,56,55,47,49
47,Luther Burden,WR23,CHI,51.0,47,55,59,44,44,58,46
48,David Montgomery,RB22,HOU,50.5,48,48,57,57,45,48,48
48,Davante Adams,WR24,LAR,51.8,48,50,44,55,52,53,57
49,Bhayshul Tuten,RB23,JAX,53.2,49,61,47,58,48,54,51
50,Jameson Williams,WR26,DET,53.5,50,60,53,49,47,56,56
51,Jadarian Price,RB24,SEA,57.5,51,64,58,59,59,52,53
53,Terry McLaurin,WR25,WAS,52.2,53,56,50,47,49,57,54
55,Lamar Jackson,QB2,BAL,49.7,55,32,43,53,60,41,69
55,Rome Odunze,WR27,CHI,57.7,55,65,54,51,58,60,58
57,Christian Watson,WR28,GB,61.3,57,69,74,52,57,61,55
58,Tyler Warren,TE4,IND,49.5,58,49,52,46,62,55,33
59,DJ Moore,WR22,BUF,49.3,59,54,51,45,50,49,47
59,Carnell Tate,WR32,TEN,71.0,59,67,61,74,63,89,72
60,Brian Thomas,WR34,JAX,78.2,60,74,97,73,66,84,75
62,Mike Evans,WR29,SF,61.7,62,62,62,60,54,70,62
63,TreVeyon Henderson,RB25,NE,62.5,63,57,60,65,61,69,63
63,Parker Washington,WR30,JAX,62.5,63,73,76,54,53,67,52
64,Rhamondre Stevenson,RB26,NE,67.5,64,81,65,62,65,66,66
64,Marvin Harrison,WR31,ARI,68.2,64,76,63,68,64,68,70
64,Jaylen Warren,RB27,PIT,71.8,64,72,77,69,69,76,68
69,Drake Maye,QB3,NE,60.0,69,47,56,61,67,51,78
